wave,blue
1188,0.282763303
1189,0.283244945
1190,0.283724429
1191,0.283494544
1192,0.283264165
1193,0.283033289
1194,0.282801914
1195,0.282570036
1196,0.282337654
1197,0.282104765
1198,0.281871365
1199,0.281637454
1200,0.281403027
1201,0.281199439
1202,0.28099546
1203,0.280791088
1204,0.280586323
1205,0.280381161
1206,0.280175602
1207,0.279969644
1208,0.279763284
1209,0.279556521
1210,0.279349353
1211,0.279141779
1212,0.278933795
1213,0.278725401
1214,0.278516595
1215,0.278307374
1216,0.278097737
1217,0.277887682
1218,0.277677206
1219,0.277466309
1220,0.277254987
1221,0.277043239
1222,0.276831063
1223,0.276618457
1224,0.276405419
1225,0.276191946
1226,0.275978037
1227,0.275763689
1228,0.275548902
1229,0.275333671
1230,0.275117996
1231,0.274901873
1232,0.274685302
1233,0.274468279
1234,0.274250803
1235,0.274032871
1236,0.273814482
1237,0.273595632
1238,0.273376319
1239,0.273156542
1240,0.272936298
1241,0.272715585
1242,0.272494399
1243,0.27227274
1244,0.272050605
1245,0.27182799
1246,0.271604894
1247,0.271381315
1248,0.271157249
1249,0.270932695
1250,0.27070765
1251,0.270599279
1252,0.270490794
1253,0.270382195
1254,0.270273481
1255,0.270164651
1256,0.270055706
1257,0.269946645
1258,0.269837468
1259,0.27025276
1260,0.270666379
1261,0.271078341
1262,0.271488661
1263,0.271897354
1264,0.272304435
1265,0.272709919
1266,0.273113821
1267,0.273516154
1268,0.273916934
1269,0.274316173
1270,0.274713887
1271,0.275110087
1272,0.275504788
1273,0.275898002
1274,0.276289744
1275,0.276680025
1276,0.277068858
1277,0.277456255
1278,0.27784223
1279,0.278226794
1280,0.278609959
1281,0.278991737
1282,0.279372139
1283,0.279751177
1284,0.280128863
1285,0.280505207
1286,0.280880221
1287,0.281253916
1288,0.281626302
1289,0.28199739
1290,0.282367191
1291,0.282735714
1292,0.283102971
1293,0.283468971
1294,0.283833724
1295,0.284197241
1296,0.28455953
1297,0.284920602
1298,0.285280465
1299,0.28563913
1300,0.285996606
1301,0.288397997
1302,0.290747488
1303,0.293047625
1304,0.295300761
1305,0.297509077
1306,0.2996746
1307,0.301799217
1308,0.303884686
1309,0.30593265
1310,0.307944646
1311,0.309922115
1312,0.311866408
1313,0.313778795
1314,0.315660472
1315,0.317512566
1316,0.31933614
1317,0.321132197
1318,0.322901688
1319,0.324645512
1320,0.326364521
1321,0.328059523
1322,0.329731287
1323,0.331380543
1324,0.333007986
1325,0.334614276
1326,0.336200045
1327,0.337765894
1328,0.339312397
1329,0.340840103
1330,0.342349537
1331,0.3438412
1332,0.345315573
1333,0.346773118
1334,0.348214274
1335,0.349639466
1336,0.3510491
1337,0.352443568
1338,0.353823244
1339,0.355188489
1340,0.356539651
1341,0.357877065
1342,0.359201051
1343,0.360511921
1344,0.361809974
1345,0.363095498
1346,0.364368773
1347,0.365630066
1348,0.366879638
1349,0.36811774
1350,0.369344615
1351,0.376897148
1352,0.384058191
1353,0.390872054
1354,0.397375641
1355,0.403600041
1356,0.409571715
1357,0.415313382
1358,0.420844708
1359,0.426182839
1360,0.431342824
1361,0.436337945
1362,0.441179993
1363,0.445879485
1364,0.450445846
1365,0.454887558
1366,0.459212281
1367,0.463426961
1368,0.46753792
1369,0.471550924
1370,0.475471252
1371,0.479303749
1372,0.483052875
1373,0.486722741
1374,0.490317151
1375,0.493839628
1376,0.497293445
1377,0.500681644
